MeasuredFrame,FrameTime,GameThreadTime,RenderThreadTime,GPUTime,RHIThreadTime
0,31.1483,0.8648,2.0209,28.5288,0.9717
1,31.4318,0.8031,2.2595,27.3846,1.0173
2,30.9039,0.8225,1.9841,27.1892,0.9173
3,31.3537,0.8000,2.1858,28.6891,1.0122
4,31.1039,0.7936,2.1233,27.2873,1.0172
5,31.6176,0.7903,2.2878,28.1373,1.0668
6,31.0403,0.8170,2.2780,28.0948,1.0866
7,31.1640,0.8022,2.1294,27.7805,1.0490
8,31.4581,0.9070,2.1788,28.9242,1.0718
9,31.7592,0.8649,2.6695,30.6934,1.1520
10,30.8384,0.8668,2.3638,29.6009,1.0992
11,31.2401,0.8217,2.1543,28.0160,0.9954
12,31.3159,0.8415,2.3032,29.4312,1.0568
13,31.1869,0.8920,2.1709,27.6299,1.0059
14,31.0090,0.7848,2.1135,27.7504,1.0500
15,31.2124,0.8264,2.0587,28.6041,1.0578
16,31.5961,0.9201,2.1012,29.2649,0.9967
17,31.1121,0.8453,2.2323,27.7655,1.0571
18,31.2557,0.8182,2.1815,27.9619,1.1022
19,31.1644,0.7979,2.1226,28.2127,1.0462
20,31.6663,1.0235,2.3535,31.0210,1.1271
21,31.1354,0.8872,2.2642,31.1579,1.0822
22,30.8684,0.8903,2.0210,27.6060,1.0042
23,31.1788,0.7893,2.1710,28.4132,1.0612
24,31.5276,0.9246,2.1700,28.7098,1.0702
25,31.1956,0.7491,2.2179,27.6354,1.0392
26,31.1731,0.7910,2.1247,28.0730,0.9584
27,31.4338,0.7947,2.2968,29.9447,1.0561
28,31.0195,0.8384,2.1415,28.6286,1.0535
29,31.4322,0.7745,2.3038,27.8031,1.0892
30,31.1886,0.8207,2.1330,27.6492,1.0599
31,31.3772,0.9592,2.3138,30.8438,1.1152
32,31.4784,0.9566,2.3683,30.6445,1.1205
33,30.7707,0.8146,2.0626,28.3353,1.0033
34,31.1576,0.7678,2.0546,27.1103,1.0048
35,31.4263,0.7741,2.1567,28.3371,1.0691
36,31.2759,0.7901,2.0868,28.0095,1.0840
37,31.3711,0.8077,2.1756,28.0983,0.9732
38,31.1318,0.8084,2.1345,27.7702,1.0012
39,31.1438,0.8378,2.1214,28.0409,1.0385
